mst_level,L,a,b,H,S,L_hsl
1,58.08028207290176,3.8141012777699204,-17.698666164213105,0.601968594509696,0.23871857295479618,0.5883405343964756
2,41.54503072680705,5.34358872887204,-16.802836408333658,0.5678352749875538,0.22890510670196623,0.42574538403834605
3,49.68014084069319,5.152320817065924,-18.347881811810502,0.6138839816171417,0.2276233962989578,0.5084552514483753
4,44.13809624248584,6.8455217819236465,-21.00687237836255,0.6448348086684558,0.23078611852333167,0.45963015806866325
5,36.95641362445592,6.252347140995269,-18.521864881950826,0.5809974972959211,0.26816625396286686,0.38652611200989345
6,53.40075316985467,4.970423088589455,-16.098086075654173,0.6195668810066016,0.21109859321821292,0.542261146014565
7,45.46445860135495,5.184133328917244,-11.79450183457184,0.5759016538276169,0.15827153360519028,0.4565142501655044
8,47.043830431123084,5.929703197597037,-16.91381202821188,0.5796944910506476,0.20585462000111343,0.48106848967907523
9,45.73514268197828,3.589476906390472,-10.74950610810552,0.5587372693551501,0.1556492757321464,0.4517377202192318
10,44.62265846604702,1.5739002501803996,-13.240001081414118,0.5930801117942565,0.1864126549047323,0.43951726897894633
